Batch ID,Batch Name,Coffee Variety,Harvest Date,Fermentation Method,Type of Water Used,Additives for fermentation,SCA Score,Fermentation Records,Average Temp,Average PH,Average Brix,Average Humidity,Fermentation Weather,Fermentation Start,Fermentation End,Drying Records,Drying Start Date/Time,Drying End Date/Time,Form Submitted Date/Time,Form Modified Date/Time,Average Drying Temp,Average Drying Humidity,Barrel Open in (Hour),Barrel Close in (Hour),Pre-fermentation for Honey,Pre-fermentation Details (Hour) for Honey
Batch 14,Batch 14,Special,12/21/2023,Washed,Spring Water,None,86,"ferm_Batch 14_2023-12-21T00:08:29.985727,ferm_Batch 14_2023-12-19T16:33:29.985727,ferm_Batch 14_2023-12-19T23:48:54.985727,ferm_Batch 14_2023-12-19T06:33:32.985727,ferm_Batch 14_2023-12-20T09:30:15.985727",25.9,4.384,17.8,76,"Partly Cloudy,Heavy Rain,Light Rain",12/17/2023 02:06 AM,12/21/2023 02:06 AM,"dry_Batch 14_2023-12-21T22:14:55.985727,dry_Batch 14_2023-12-25T23:26:42.985727,dry_Batch 14_2023-12-23T03:42:26.985727,dry_Batch 14_2023-12-21T12:59:54.985727",12/21/2023 03:06 AM,12/26/2023 10:06 PM,12/17/2023 10:32 AM,12/21/2023 07:33 AM,23.7,66.083,,,,
Batch 15,Batch 15,Normal,09/25/2021,Washed,Spring Water,Honey,85,"ferm_Batch 15_2021-09-25T05:53:15.247484,ferm_Batch 15_2021-09-22T19:33:46.247484,ferm_Batch 15_2021-09-22T13:44:02.247484",23.5,4.374,16.3,75,"Overcast,Light Rain,Light Rain",09/21/2021 02:40 AM,09/25/2021 11:40 AM,"dry_Batch 15_2021-09-27T07:12:31.247484,dry_Batch 15_2021-09-27T21:07:02.247484,dry_Batch 15_2021-10-01T05:07:23.247484",09/25/2021 06:40 PM,10/01/2021 09:40 AM,09/21/2021 10:40 AM,09/25/2021 03:02 PM,23.5,69.02,,,,
Batch 16,Batch 16,Special,11/11/2023,Honey,,Molasses,89,"ferm_Batch 16_2023-11-06T22:07:40.148165,ferm_Batch 16_2023-11-10T06:13:12.148165,ferm_Batch 16_2023-11-08T18:56:38.148165,ferm_Batch 16_2023-11-10T17:14:21.148165,ferm_Batch 16_2023-11-08T18:09:49.148165",24.9,5.0,16.6,90,"Heavy Rain,Cloudy,Light Rain",11/06/2023 09:36 PM,11/11/2023 08:36 AM,"dry_Batch 16_2023-11-13T09:11:03.148165,dry_Batch 16_2023-11-16T10:44:28.148165,dry_Batch 16_2023-11-16T17:11:38.148165,dry_Batch 16_2023-11-14T12:18:09.148165,dry_Batch 16_2023-11-12T11:24:48.148165",11/11/2023 12:36 PM,11/17/2023 02:36 AM,11/07/2023 03:53 AM,11/11/2023 03:40 PM,24.4,83.2,3,71,No,0
Batch 17,Batch 17,Special,12/22/2021,Washed,Spring Water,Honey,85,"ferm_Batch 17_2021-12-18T05:20:48.484790,ferm_Batch 17_2021-12-21T23:38:05.484790,ferm_Batch 17_2021-12-20T21:42:11.484790",20.3,4.403,16.8,74,"Overcast,Overcast,Overcast,Cloudy,Rainy",12/17/2021 04:37 PM,12/22/2021 05:37 PM,"dry_Batch 17_2021-12-26T17:36:55.484790,dry_Batch 17_2021-12-23T10:09:37.484790,dry_Batch 17_2021-12-23T22:31:01.484790,dry_Batch 17_2021-12-24T14:12:21.484790",12/22/2021 07:37 PM,12/26/2021 07:37 PM,12/17/2021 09:36 PM,12/23/2021 02:14 AM,25.4,72.883,,,,
Batch 18,Batch 18,Special,01/03/2022,Washed,Spring Water,None,84,"ferm_Batch 18_2021-12-30T19:02:14.513287,ferm_Batch 18_2022-01-02T03:56:42.513287,ferm_Batch 18_2022-01-02T23:04:50.513287,ferm_Batch 18_2022-01-02T14:08:11.513287,ferm_Batch 18_2021-12-31T23:41:06.513287",20.7,4.412,16.2,78,"Rainy,Light Rain,Cloudy,Heavy Rain,Overcast",12/29/2021 08:29 PM,01/03/2022 12:29 PM,"dry_Batch 18_2022-01-04T20:48:42.513287,dry_Batch 18_2022-01-05T18:28:59.513287,dry_Batch 18_2022-01-06T15:57:21.513287,dry_Batch 18_2022-01-06T14:16:29.513287,dry_Batch 18_2022-01-05T18:49:31.513287",01/03/2022 06:29 PM,01/06/2022 07:29 PM,12/30/2021 06:54 AM,01/03/2022 07:30 PM,21.3,77.165,,,,
Batch 19,Batch 19,Special,11/12/2022,Honey,,None,88,"ferm_Batch 19_2022-11-08T15:17:35.778309,ferm_Batch 19_2022-11-12T11:39:11.778309,ferm_Batch 19_2022-11-08T07:28:52.778309,ferm_Batch 19_2022-11-08T05:50:46.778309",24.3,4.677,15.8,71,"Light Rain,Light Rain,Partly Cloudy",11/06/2022 06:46 PM,11/12/2022 01:46 PM,"dry_Batch 19_2022-11-14T21:34:04.778309,dry_Batch 19_2022-11-13T11:45:33.778309,dry_Batch 19_2022-11-16T05:28:33.778309,dry_Batch 19_2022-11-12T22:50:37.778309,dry_Batch 19_2022-11-16T09:00:36.778309",11/12/2022 03:46 PM,11/16/2022 11:46 AM,11/07/2022 02:00 AM,11/12/2022 06:12 PM,18.0,66.429,0,92,No,0
Batch 20,Batch 20,Normal,04/27/2024,Washed,Spring Water,Honey,85,"ferm_Batch 20_2024-04-24T08:08:42.763452,ferm_Batch 20_2024-04-25T07:44:55.763452,ferm_Batch 20_2024-04-22T22:05:51.763452,ferm_Batch 20_2024-04-26T16:32:56.763452",23.3,4.367,17.7,60,"Light Rain,Heavy Rain,Light Rain",04/21/2024 10:58 AM,04/27/2024 10:58 AM,"dry_Batch 20_2024-04-28T09:46:03.763452,dry_Batch 20_2024-04-29T18:41:58.763452,dry_Batch 20_2024-05-01T08:38:42.763452,dry_Batch 20_2024-05-03T01:08:54.763452",04/27/2024 02:58 PM,05/03/2024 05:58 AM,04/21/2024 08:29 PM,04/27/2024 07:55 PM,23.0,80.728,,,,
Batch 21,Batch 21,Special,07/29/2021,Washed,Spring Water,Honey,83,"ferm_Batch 21_2021-07-29T21:55:49.378956,ferm_Batch 21_2021-07-29T13:03:51.378956,ferm_Batch 21_2021-07-28T02:40:42.378956,ferm_Batch 21_2021-07-28T02:55:39.378956,ferm_Batch 21_2021-07-27T11:15:48.378956",19.0,4.453,15.3,60,"Overcast,Light Rain,Overcast,Sunny",07/26/2021 10:39 PM,07/29/2021 10:39 PM,"dry_Batch 21_2021-08-01T22:03:19.378956,dry_Batch 21_2021-08-02T17:41:44.378956,dry_Batch 21_2021-07-31T13:46:04.378956,dry_Batch 21_2021-07-30T06:16:12.378956",07/30/2021 01:39 AM,08/03/2021 01:39 AM,07/27/2021 05:59 AM,07/30/2021 01:27 AM,22.2,77.757,,,,
Batch 22,Batch 22,Special,05/16/2023,Washed,Spring Water,None,88,"ferm_Batch 22_2023-05-12T14:29:40.957144,ferm_Batch 22_2023-05-11T12:01:07.957144,ferm_Batch 22_2023-05-14T01:15:04.957144,ferm_Batch 22_2023-05-15T14:09:55.957144,ferm_Batch 22_2023-05-15T20:36:16.957144",25.0,4.79,18.0,90,"Sunny,Cloudy,Cloudy",05/11/2023 03:19 AM,05/16/2023 05:19 AM,"dry_Batch 22_2023-05-19T15:23:30.957144,dry_Batch 22_2023-05-18T05:31:02.957144,dry_Batch 22_2023-05-18T02:52:42.957144",05/16/2023 06:19 AM,05/20/2023 05:19 PM,05/11/2023 03:29 AM,05/16/2023 01:31 PM,21.9,63.392,,,,
Batch 23,Batch 23,Normal,02/11/2024,Honey,,Yeast,90,"ferm_Batch 23_2024-02-06T12:45:12.555424,ferm_Batch 23_2024-02-06T12:35:55.555424,ferm_Batch 23_2024-02-07T23:57:37.555424",25.0,4.703,18.4,69,"Cloudy,Partly Cloudy,Sunny,Overcast",02/06/2024 07:13 AM,02/11/2024 04:13 AM,"dry_Batch 23_2024-02-13T00:35:40.555424,dry_Batch 23_2024-02-12T14:13:27.555424,dry_Batch 23_2024-02-15T22:23:50.555424",02/11/2024 11:13 AM,02/16/2024 05:13 PM,02/06/2024 08:27 AM,02/11/2024 09:17 AM,22.9,78.42,3,99,No,0
Batch 24,Batch 24,Special,10/12/2021,Honey,,None,86,"ferm_Batch 24_2021-10-06T20:56:08.699771,ferm_Batch 24_2021-10-11T07:07:24.699771,ferm_Batch 24_2021-10-10T05:13:57.699771",20.6,4.23,17.0,70,"Partly Cloudy,Sunny,Rainy",10/06/2021 02:20 AM,10/12/2021 12:20 AM,"dry_Batch 24_2021-10-13T03:00:08.699771,dry_Batch 24_2021-10-14T02:55:49.699771,dry_Batch 24_2021-10-15T15:50:41.699771",10/12/2021 01:20 AM,10/15/2021 09:20 PM,10/06/2021 06:10 AM,10/12/2021 12:11 PM,23.4,90.0,2,111,No,0
Batch 25,Batch 25,Special,05/10/2023,Honey,,None,90,"ferm_Batch 25_2023-05-06T22:33:16.375982,ferm_Batch 25_2023-05-07T09:59:41.375982,ferm_Batch 25_2023-05-09T19:32:26.375982,ferm_Batch 25_2023-05-05T09:22:12.375982",28.0,4.551,15.6,84,"Partly Cloudy,Cloudy,Light Rain,Light Rain",05/05/2023 01:21 AM,05/10/2023 04:21 AM,"dry_Batch 25_2023-05-12T18:29:13.375982,dry_Batch 25_2023-05-11T15:32:02.375982,dry_Batch 25_2023-05-11T10:08:16.375982,dry_Batch 25_2023-05-10T19:20:09.375982,dry_Batch 25_2023-05-12T15:03:26.375982",05/10/2023 07:21 AM,05/13/2023 03:21 PM,05/05/2023 05:12 AM,05/10/2023 12:39 PM,22.0,81.478,3,86,No,0
Batch 26,Batch 26,Special,02/12/2023,Honey,,None,84,"ferm_Batch 26_2023-02-08T00:30:47.666590,ferm_Batch 26_2023-02-11T04:30:59.666590,ferm_Batch 26_2023-02-09T14:28:32.666590,ferm_Batch 26_2023-02-07T18:43:53.666590,ferm_Batch 26_2023-02-08T14:52:48.666590",24.1,4.451,18.7,90,"Cloudy,Sunny,Overcast,Cloudy,Sunny",02/07/2023 04:39 PM,02/12/2023 12:39 AM,"dry_Batch 26_2023-02-15T16:42:53.666590,dry_Batch 26_2023-02-14T23:39:55.666590,dry_Batch 26_2023-02-16T02:07:29.666590",02/12/2023 03:39 AM,02/16/2023 04:39 PM,02/07/2023 05:32 PM,02/12/2023 11:41 AM,18.3,74.562,2,106,No,0
Batch 27,Batch 27,Special,02/06/2023,Washed,Spring Water,None,88,"ferm_Batch 27_2023-02-06T14:07:04.611799,ferm_Batch 27_2023-02-02T23:50:48.611799,ferm_Batch 27_2023-02-06T07:40:32.611799,ferm_Batch 27_2023-02-02T23:32:35.611799,ferm_Batch 27_2023-02-04T20:59:29.611799",23.1,5.0,19.7,78,"Cloudy,Heavy Rain,Rainy,Overcast",02/01/2023 07:00 PM,02/06/2023 09:00 PM,"dry_Batch 27_2023-02-10T05:34:58.611799,dry_Batch 27_2023-02-08T16:49:34.611799,dry_Batch 27_2023-02-08T17:09:50.611799,dry_Batch 27_2023-02-11T01:23:13.611799",02/06/2023 11:00 PM,02/11/2023 05:00 PM,02/01/2023 07:26 PM,02/07/2023 08:59 AM,25.1,86.722,,,,
Batch 28,Batch 28,Special,05/12/2024,Washed,Filtered Water,None,84,"ferm_Batch 28_2024-05-07T22:51:32.740151,ferm_Batch 28_2024-05-11T07:01:59.740151,ferm_Batch 28_2024-05-09T04:02:38.740151,ferm_Batch 28_2024-05-08T06:46:18.740151",22.0,4.555,17.7,64,"Light Rain,Cloudy,Sunny,Rainy",05/07/2024 10:01 AM,05/12/2024 10:01 AM,"dry_Batch 28_2024-05-14T07:42:39.740151,dry_Batch 28_2024-05-17T00:18:28.740151,dry_Batch 28_2024-05-16T01:03:59.740151",05/12/2024 02:01 PM,05/17/2024 11:01 PM,05/07/2024 07:39 PM,05/12/2024 06:34 PM,25.8,72.204,,,,
Batch 29,Batch 29,Special,09/22/2023,Washed,Spring Water,None,84,"ferm_Batch 29_2023-09-18T02:31:27.715908,ferm_Batch 29_2023-09-22T13:53:30.715908,ferm_Batch 29_2023-09-19T15:54:00.715908,ferm_Batch 29_2023-09-17T06:02:06.715908,ferm_Batch 29_2023-09-22T12:30:37.715908",19.6,4.578,17.7,72,"Sunny,Sunny,Light Rain,Sunny",09/17/2023 05:22 AM,09/22/2023 07:22 PM,"dry_Batch 29_2023-09-24T11:51:11.715908,dry_Batch 29_2023-09-25T03:40:35.715908,dry_Batch 29_2023-09-24T06:15:26.715908,dry_Batch 29_2023-09-23T11:27:20.715908",09/23/2023 03:22 AM,09/26/2023 09:22 PM,09/17/2023 06:37 AM,09/23/2023 04:26 AM,21.2,87.53,,,,
Batch 30,Batch 30,Special,10/27/2022,Honey,,Sugar,86,"ferm_Batch 30_2022-10-26T11:03:34.461893,ferm_Batch 30_2022-10-27T02:01:32.461893,ferm_Batch 30_2022-10-27T02:01:33.461893,ferm_Batch 30_2022-10-23T00:40:51.461893,ferm_Batch 30_2022-10-25T03:57:08.461893",23.6,4.223,15.6,85,"Cloudy,Overcast,Cloudy",10/22/2022 03:33 PM,10/27/2022 06:33 AM,"dry_Batch 30_2022-10-28T06:21:42.461893,dry_Batch 30_2022-10-30T12:03:34.461893,dry_Batch 30_2022-10-29T20:32:52.461893,dry_Batch 30_2022-10-30T21:49:44.461893,dry_Batch 30_2022-10-28T19:42:23.461893",10/27/2022 09:33 AM,10/31/2022 03:33 AM,10/22/2022 09:07 PM,10/27/2022 12:43 PM,21.9,60.961,3,77,No,0
Batch 31,Batch 31,Special,04/29/2024,Washed,Spring Water,None,84,"ferm_Batch 31_2024-04-28T13:05:24.003014,ferm_Batch 31_2024-04-28T18:35:17.003014,ferm_Batch 31_2024-04-28T07:25:27.003014,ferm_Batch 31_2024-04-26T13:39:46.003014,ferm_Batch 31_2024-04-29T07:05:59.003014",19.7,4.652,17.1,74,"Sunny,Heavy Rain,Overcast,Cloudy",04/25/2024 03:51 PM,04/29/2024 09:51 AM,"dry_Batch 31_2024-04-30T07:26:50.003014,dry_Batch 31_2024-05-02T19:58:02.003014,dry_Batch 31_2024-05-01T08:05:12.003014,dry_Batch 31_2024-05-01T04:27:03.003014",04/29/2024 10:51 AM,05/02/2024 09:51 PM,04/25/2024 09:28 PM,04/29/2024 01:58 PM,22.9,76.343,,,,
Batch 32,Batch 32,Normal,02/23/2024,Honey,,None,88,"ferm_Batch 32_2024-02-19T09:29:33.842584,ferm_Batch 32_2024-02-20T03:33:25.842584,ferm_Batch 32_2024-02-23T02:30:14.842584,ferm_Batch 32_2024-02-20T23:25:52.842584",26.3,4.49,17.2,84,"Cloudy,Cloudy,Cloudy,Heavy Rain",02/18/2024 07:15 PM,02/23/2024 05:15 AM,"dry_Batch 32_2024-02-25T09:28:03.842584,dry_Batch 32_2024-02-25T05:20:17.842584,dry_Batch 32_2024-02-27T01:33:56.842584,dry_Batch 32_2024-02-27T10:31:00.842584",02/23/2024 04:15 PM,02/29/2024 04:15 AM,02/19/2024 04:06 AM,02/23/2024 06:55 AM,18.5,63.019,1,87,Yes,24
Batch 33,Batch 33,Special,03/25/2023,Honey,,None,87,"ferm_Batch 33_2023-03-24T00:56:52.378140,ferm_Batch 33_2023-03-22T04:15:02.378140,ferm_Batch 33_2023-03-24T10:44:44.378140",22.0,4.574,16.4,62,"Sunny,Heavy Rain,Partly Cloudy,Partly Cloudy,Light Rain",03/20/2023 02:30 PM,03/25/2023 05:30 AM,"dry_Batch 33_2023-03-27T16:27:26.378140,dry_Batch 33_2023-03-29T07:39:54.378140,dry_Batch 33_2023-03-26T05:50:20.378140",03/25/2023 10:30 AM,03/30/2023 11:30 PM,03/20/2023 07:53 PM,03/25/2023 05:27 PM,25.2,73.48,0,70,No,0
Batch 34,Batch 34,Normal,12/24/2021,Washed,Well Water,Sugar,86,"ferm_Batch 34_2021-12-19T14:29:23.636760,ferm_Batch 34_2021-12-22T06:40:43.636760,ferm_Batch 34_2021-12-20T07:41:31.636760,ferm_Batch 34_2021-12-23T14:02:37.636760,ferm_Batch 34_2021-12-21T19:05:21.636760",20.0,4.716,18.5,88,"Cloudy,Overcast,Rainy",12/18/2021 11:41 PM,12/24/2021 01:41 PM,"dry_Batch 34_2021-12-25T14:03:26.636760,dry_Batch 34_2021-12-25T05:41:16.636760,dry_Batch 34_2021-12-27T17:15:36.636760,dry_Batch 34_2021-12-26T21:48:40.636760,dry_Batch 34_2021-12-25T06:50:46.636760",12/25/2021 01:41 AM,12/29/2021 02:41 PM,12/19/2021 10:12 AM,12/24/2021 02:45 PM,19.4,68.27,,,,
Batch 35,Batch 35,Special,11/20/2021,Washed,Spring Water,None,85,"ferm_Batch 35_2021-11-18T09:48:25.744339,ferm_Batch 35_2021-11-20T05:23:13.744339,ferm_Batch 35_2021-11-18T22:24:10.744339,ferm_Batch 35_2021-11-19T16:12:05.744339",24.0,4.818,16.0,82,"Overcast,Cloudy,Sunny,Partly Cloudy,Partly Cloudy",11/16/2021 08:47 AM,11/20/2021 05:47 AM,"dry_Batch 35_2021-11-20T21:41:56.744339,dry_Batch 35_2021-11-23T09:55:59.744339,dry_Batch 35_2021-11-23T12:54:40.744339,dry_Batch 35_2021-11-23T22:28:31.744339,dry_Batch 35_2021-11-23T06:14:44.744339",11/20/2021 05:47 PM,11/25/2021 06:47 PM,11/16/2021 04:43 PM,11/20/2021 02:58 PM,22.8,65.2,,,,
